============================================
ANALISIS DETAIL KARTU STOK PRODUK ID: 48
============================================

INFORMASI PRODUK:
- Nama: ANDALAN
- Stok Aktual (produk.stok): -2

============================================
SEMUA REKAMAN STOK (URUTAN KRONOLOGIS ASC)
============================================

Total rekaman_stoks: 255

#1 | ID:150826 | 2024-05-07 00:01:46 | Awal:71 | +0 | -1 | Sisa:70
   Ket: Penjualan - ID: 23 | Jual:23 | Beli:-
#2 | ID:150827 | 2024-05-07 00:01:47 | Awal:70 | +0 | -1 | Sisa:69
   Ket: Penjualan - ID: 23 | Jual:23 | Beli:-
#3 | ID:150828 | 2024-05-07 00:01:48 | Awal:69 | +0 | -1 | Sisa:68
   Ket: Penjualan - ID: 24 | Jual:24 | Beli:-
#4 | ID:150829 | 2024-05-07 00:01:49 | Awal:68 | +0 | -1 | Sisa:67
   Ket: Penjualan - ID: 24 | Jual:24 | Beli:-
#5 | ID:150830 | 2024-05-07 00:01:50 | Awal:67 | +0 | -1 | Sisa:66
   Ket: Penjualan - ID: 26 | Jual:26 | Beli:-
#6 | ID:150831 | 2024-05-29 12:41:38 | Awal:66 | +0 | -2 | Sisa:64
   Ket: Penjualan - ID: 14 | Jual:14 | Beli:-
#7 | ID:150832 | 2024-05-29 14:11:37 | Awal:64 | +0 | -1 | Sisa:63
   Ket: Penjualan - ID: 16 | Jual:16 | Beli:-
#8 | ID:150833 | 2024-05-29 14:38:46 | Awal:63 | +0 | -1 | Sisa:62
   Ket: Penjualan - ID: 17 | Jual:17 | Beli:-
#9 | ID:150834 | 2024-05-29 14:38:47 | Awal:62 | +0 | -2 | Sisa:60
   Ket: Penjualan - ID: 17 | Jual:17 | Beli:-
#10 | ID:150835 | 2024-12-05 00:00:23 | Awal:60 | +0 | -1 | Sisa:59
   Ket: Penjualan - ID: 49 | Jual:49 | Beli:-
#11 | ID:150836 | 2024-12-09 00:00:36 | Awal:59 | +0 | -1 | Sisa:58
   Ket: Penjualan - ID: 54 | Jual:54 | Beli:-
#12 | ID:150837 | 2024-12-20 00:00:26 | Awal:58 | +0 | -2 | Sisa:56
   Ket: Penjualan - ID: 72 | Jual:72 | Beli:-
#13 | ID:150838 | 2024-12-20 00:00:27 | Awal:56 | +0 | -1 | Sisa:55
   Ket: Penjualan - ID: 72 | Jual:72 | Beli:-
#14 | ID:150839 | 2024-12-20 00:00:28 | Awal:55 | +0 | -2 | Sisa:53
   Ket: Penjualan - ID: 69 | Jual:69 | Beli:-
#15 | ID:150840 | 2024-12-25 00:00:25 | Awal:53 | +0 | -1 | Sisa:52
   Ket: Penjualan - ID: 83 | Jual:83 | Beli:-
#16 | ID:150841 | 2024-12-26 00:00:55 | Awal:52 | +0 | -1 | Sisa:51
   Ket: Penjualan - ID: 84 | Jual:84 | Beli:-
#17 | ID:150842 | 2024-12-26 00:00:56 | Awal:51 | +0 | -2 | Sisa:49
   Ket: Penjualan - ID: 87 | Jual:87 | Beli:-
#18 | ID:150843 | 2024-12-26 00:00:57 | Awal:49 | +0 | -0 | Sisa:49
   Ket: Penjualan - ID: 88 | Jual:88 | Beli:-
#19 | ID:150844 | 2024-12-26 00:00:58 | Awal:49 | +0 | -1 | Sisa:48
   Ket: Penjualan - ID: 89 | Jual:89 | Beli:-
#20 | ID:150845 | 2024-12-26 00:00:59 | Awal:48 | +0 | -1 | Sisa:47
   Ket: Penjualan - ID: 89 | Jual:89 | Beli:-
#21 | ID:150846 | 2024-12-26 00:01:00 | Awal:47 | +0 | -1 | Sisa:46
   Ket: Penjualan - ID: 89 | Jual:89 | Beli:-
#22 | ID:150847 | 2025-01-14 00:00:59 | Awal:46 | +0 | -1 | Sisa:45
