produk_id_produk,produk_id_kategori,produk_kode_produk,produk_nama_produk,produk_merk,produk_harga_beli,produk_diskon,produk_harga_jual,produk_stok,produk_expired_date,produk_batch,produk_created_at,produk_updated_at,rekaman_id_rekaman_stok,rekaman_id_produk,rekaman_waktu,rekaman_stok_masuk,rekaman_stok_keluar,rekaman_created_at,rekaman_updated_at,rekaman_id_penjualan,rekaman_id_pembelian,rekaman_stok_awal,rekaman_stok_sisa,rekaman_keterangan
2,5,,ACETHYLESISTEIN 200mg,ACETHYLESISTEIN 200mg,465,0,1200,20,2027-03-02,250305279,2024-01-04 16:01:31,2025-12-31 23:30:40,175538,2,2025-12-31 23:30:40,0,41,2025-12-31 23:30:40,2025-12-31 23:30:40,,,71,30,Perubahan Stok Manual: SO
3,2,,ACETON,ACETON,7500,0,9500,1,,,2024-01-04 16:01:31,2026-01-01 22:59:30,,,,,,,,,,,,
4,3,,ACIFAR CREAM,ACIFAR CREAM,5216,0,7000,1,2027-02-01,,2024-01-04 16:01:31,2025-12-31 21:51:56,175369,4,2025-12-31 21:51:56,1,0,2025-12-31 21:51:56,2025-12-31 21:51:56,,,0,1,Perubahan Stok Manual: SO
5,5,,ACIFAR TAB,ACIFAR TAB,1069,0,1350,60,2027-10-06,AC00X,2024-01-04 16:01:31,2025-12-10 15:46:49,,,,,,,,,,,,
6,1,,ACNOL,ACNOL lotion,16872,0,19500,3,2028-06-08,5706118,2024-01-04 16:01:31,2026-01-01 00:42:28,,,,,,,,,,,,
7,2,,SUTRA BIRU S'12,sutra biru s'12,22683,0,31000,4,2030-03-02,M44250404,2024-01-04 16:01:31,2025-12-12 20:30:04,,,,,,,,,,,,
8,1,,ACTIFED ALL VAR,ACTIFED ALL VAR,55837,0,65500,0,2028-09-03,M49L,2024-01-04 16:01:31,2026-01-01 23:27:22,,,,,,,,,,,,
9,6,,ACYCLOVIR CREAM,ACYCLOVIR CREAM,3749,0,5000,10,2028-08-01,1658,2024-01-04 16:01:31,2026-01-01 00:54:42,175368,9,2025-12-31 21:51:33,0,15,2025-12-31 21:51:33,2025-12-31 21:51:33,,,26,11,Perubahan Stok Manual: SO
10,3,,JESSCOLL,JESSCOLL,1986,0,2500,22,2027-09-06,SEP25A10,2024-01-04 16:01:31,2026-01-02 03:01:12,,,,,,,,,,,,
11,3,,ADEM SARI,ADEM SARI,2754,0,3500,11,2027-02-06,014H5,2024-01-04 16:01:31,2025-12-31 19:42:47,175134,11,2025-12-31 19:42:47,3,0,2025-12-31 19:42:47,2025-12-31 19:42:47,,,8,11,Perubahan Stok Manual: SO
12,2,,AITO,AITO,10292,0,13000,4,2027-08-05,PTM03,2024-01-04 16:01:31,2025-12-27 19:05:54,,,,,,,,,,,,
13,2,,AKURAT,AKURAT,8963,0,12000,5,2028-06-18,EQ202506,2024-01-04 16:01:31,2025-12-27 19:08:44,,,,,,,,,,,,
14,1,,ALBOTHYL CONC 5mL,ALBOTHYL CONC 5mL,22770,0,29000,0,2027-12-14,,2024-01-04 16:01:31,2025-07-04 12:40:18,,,,,,,,,,,,
15,1,,ALKOHOL 70% 100mL,ALKOHOL 70% 100mL,4190,0,5500,2,2029-08-28,1092588,2024-01-04 16:01:31,2025-12-20 22:55:50,,,,,,,,,,,,
16,6,,MOMETASON CR,MOMETASON CR,17982,0,21000,1,,,2024-01-04 16:01:31,2026-01-01 00:55:25,,,,,,,,,,,,
17,1,,ALKOHOL 70% 300mL,ALKOHOL 70% 300mL,9528,0,14000,8,2027-12-06,,2024-01-04 16:01:31,2025-12-31 20:02:46,175178,17,2025-12-31 20:02:46,8,0,2025-12-31 20:02:46,2025-12-31 20:02:46,,,0,8,Perubahan Stok Manual: SO
18,4,,POLYCROL FORTE,POLYCROL FORTE,6117,0,7500,10,2027-08-05,SH 1111,2024-01-04 16:01:31,2025-12-31 19:43:38,175136,18,2025-12-31 19:43:38,1,0,2025-12-31 19:43:38,2025-12-31 19:43:38,,,9,10,Perubahan Stok Manual: SO
19,4,,IMBOST S'4,IMBOST S'4,15058,0,18000,3,2028-08-04,25G0107,2024-01-04 16:01:31,2025-12-31 21:33:47,175352,19,2025-12-31 21:33:47,1,0,2025-12-31 21:33:47,2025-12-31 21:33:47,,,2,3,Perubahan Stok Manual: SO
20,1,,ALLETROL TM,ALLETROL TM,16516,0,20000,4,2027-06-01,D2060033,2024-01-04 16:01:31,2025-12-31 22:36:56,175447,20,2025-12-31 22:36:56,0,1,2025-12-31 22:36:56,2025-12-31 22:36:56,,,6,5,Perubahan Stok Manual: SO
21,5,,ALLOFAR 100MG,ALLOFAR 100MG,284,0,400,90,2027-08-03,AG04SX,2024-01-04 16:01:31,2025-12-31 23:23:08,175511,21,2025-12-31 23:23:08,19,0,2025-12-31 23:23:08,2025-12-31 23:23:08,,,71,90,Perubahan Stok Manual: SO
22,5,,ALLOFAR 300MG,ALLOFAR 300MG,590,0,850,160,2027-10-22,AH047,2024-01-04 16:01:31,2025-12-31 23:22:59,175510,22,2025-12-31 23:22:59,0,30,2025-12-31 23:22:59,2025-12-31 23:22:59,,,200,170,Perubahan Stok Manual: SO
23,5,,ALLOPURINOL 100mg,ALLOPURINOL 100mg,179,0,250,720,2027-11-10,250710106,2024-01-04 16:01:31,2026-01-02 18:37:33,,,,,,,,,,,,
24,5,,ALLOPURINOL 300mg,ALLOPURINOL 300mg,410,0,650,230,2027-08-07,54413,2024-01-04 16:01:31,2026-01-01 00:13:40,,,,,,,,,,,,
25,5,,ALPARA,ALPARA,641,0,800,130,2027-10-22,A06HL0240,2024-01-04 16:01:31,2025-12-31 21:55:41,175378,25,2025-12-31 21:55:41,0,170,2025-12-31 21:55:41,2025-12-31 21:55:41,,,330,160,Perubahan Stok Manual: SO
26,2,,TRANSPLUMIN BABY,TRANSPLUMIN BABY,46714,0,54000,0,2028-06-05,PF1603,2024-01-04 16:01:31,2025-12-31 20:18:04,175220,26,2025-12-31 20:18:04,0,2,2025-12-31 20:18:04,2025-12-31 20:18:04,,,2,0,Perubahan Stok Manual: SO
27,5,,HUFADEXTA-M,HUFADEXTA-M,213,0,300,20,2027-03-04,O100035,2024-01-04 16:01:31,2026-01-01 00:26:02,,,,,,,,,,,,
28,4,,XYLERGY,ALVITA,4175,0,5000,10,0202-10-09,J25A01,2024-01-04 16:01:31,2026-01-02 03:03:37,,,,,,,,,,,,
29,4,,AMBEVEN,AMBEVEN,16186,0,19000,12,2028-06-18,82K001,2024-01-04 16:01:31,2025-12-31 23:04:09,175459,29,2025-12-31 23:04:09,0,4,2025-12-31 23:04:09,2025-12-31 23:04:09,,,16,12,Perubahan Stok Manual: SO
30,5,,AMBROXOL,AMBROXOL,118,0,200,120,2028-10-03,251001146,2024-01-04 16:01:31,2025-12-31 23:30:14,175536,30,2025-12-31 23:30:14,0,150,2025-12-31 23:30:14,2025-12-31 23:30:14,,,280,130,Perubahan Stok Manual: SO
31,1,,AMBROXOL SYR,AMBROXOL SYR,4174,0,6000,1,2027-05-07,250501184,2024-01-04 16:01:31,2025-12-31 21:58:29,175385,31,2025-12-31 21:58:29,0,4,2025-12-31 21:58:29,2025-12-31 21:58:29,,,5,1,Perubahan Stok Manual: SO
32,5,,AMINOPILIN,AMINOPILIN,311,0,450,110,2028-03-04,25CA021,2024-01-04 16:01:31,2025-11-17 23:01:20,,,,,,,,,,,,
33,5,,AMLODIPIN 10mg,AMLODIPIN 10mg,448,0,600,440,2027-09-18,55025,2024-01-04 16:01:31,2026-01-02 18:59:13,,,,,,,,,,,,
34,5,,AMLODIPIN 5mg,AMLODIPIN 5mg,84,0,400,740,2028-10-03,5101EM,2024-01-04 16:01:31,2026-01-01 00:15:13,,,,,,,,,,,,
35,2,,CESSA BABY,,26695,0,35000,5,2028-08-11,T20IEHY,2024-01-04 16:01:31,2026-01-02 16:25:41,,,,,,,,,,,,
36,5,,AMOXAN 500mg,AMOXAN 500mg,3663,0,4400,80,2027-08-10,FH6805,2024-01-04 16:01:31,2025-12-20 23:20:52,,,,,,,,,,,,
37,5,,AMOXICILIN PHARMA,AMOXICILIN PHARMA,442,0,650,130,2029-07-08,250771115,2024-01-04 16:01:31,2025-12-31 23:30:53,175539,37,2025-12-31 23:30:53,0,10,2025-12-31 23:30:53,2025-12-31 23:30:53,,,150,140,Perubahan Stok Manual: SO
38,1,,SILADEX UNGU 60ML,SILADEX UNGU 60ML,14104,0,17000,6,2027-05-20,E25A10,2024-01-04 16:01:31,2025-12-17 17:50:49,,,,,,,,,,,,
39,5,,AMPICILIN,AMPISILIN,511,0,650,80,2027-07-08,748116,2024-01-04 16:01:31,2025-12-31 23:29:22,175534,39,2025-12-31 23:29:22,80,0,2025-12-31 23:29:22,2025-12-31 23:29:22,,,0,80,Perubahan Stok Manual: SO
40,1,,ANACETIN,ANACETIN,9562,0,11500,1,2027-07-12,GR084247,2024-01-04 16:01:31,2025-12-17 18:00:57,,,,,,,,,,,,
41,1,,ANAKONIDIN 30mL,ANAKONIDIN 30mL,7429,0,9500,4,2028-10-11,125A11,2024-01-04 16:01:31,2025-12-31 18:59:17,175056,41,2025-12-31 18:59:17,0,1,2025-12-31 18:59:17,2025-12-31 18:59:17,,,5,4,Perubahan Stok Manual: SO
42,1,,ANAKONIDIN 60mL,ANAKONIDIN 60mL,12417,0,14500,3,2028-06-11,K25A10,2024-01-04 16:01:31,2026-01-02 03:05:14,175055,42,2025-12-31 18:58:51,0,1,2025-12-31 18:58:51,2025-12-31 18:58:51,,,2,1,Perubahan Stok Manual: SO
43,1,,ANAKONIDIN OBH 30mL,ANAKONIDIN OBH 30mL,8296,0,10500,3,2027-11-04,K25A05,2024-01-04 16:01:31,2025-12-31 18:59:37,175057,43,2025-12-31 18:59:37,0,1,2025-12-31 18:59:37,2025-12-31 18:59:37,,,4,3,Perubahan Stok Manual: SO
44,1,,ANAKONIDIN OBH 60mL,ANAKONIDIN OBH 60mL,13516,0,15500,5,2027-11-11,K25A04,2024-01-04 16:01:31,2025-12-31 18:59:50,175058,44,2025-12-31 18:59:50,0,2,2025-12-31 18:59:50,2025-12-31 18:59:50,,,8,6,Perubahan Stok Manual: SO
45,5,,ANASTAN,ANASTAN,350,0,500,130,2028-09-20,K001745,2024-01-04 16:01:31,2025-12-31 23:22:46,175509,45,2025-12-31 23:22:46,0,30,2025-12-31 23:22:46,2025-12-31 23:22:46,,,160,130,Perubahan Stok Manual: SO
46,1,,ANATON SYR,ANATON SYR,7650,0,10000,7,2029-06-14,506143,2024-01-04 16:01:31,2025-12-31 19:17:23,175084,46,2025-12-31 19:17:23,0,1,2025-12-31 19:17:23,2025-12-31 19:17:23,,,8,7,Perubahan Stok Manual: SO
47,5,,ANATON TAB,ANATON TAB,445,0,600,120,2028-06-08,506204,2024-01-04 16:01:31,2025-12-31 21:57:25,175382,47,2025-12-31 21:57:25,0,40,2025-12-31 21:57:25,2025-12-31 21:57:25,,,160,120,Perubahan Stok Manual: SO
48,2,,ANDALAN,ANDALAN,5951,0,8000,14,2030-05-07,5193123,2024-01-04 16:01:31,2025-12-31 22:32:47,175438,48,2025-12-31 22:32:47,0,980,2025-12-31 22:32:47,2025-12-31 22:32:47,,,1000,20,Perubahan Stok Manual: SO
