STOCK RECALCULATION FROM OPNAME - RESULTS
==========================================
Executed at: 2026-01-08 16:29:34
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 391
Records Created: 258
Records Updated: 16941
Records Deleted: 690
Errors: 0

STOCK CHANGES:
Product 2: 20 => 61 (+41)
Product 3: 1 => 0 (-1)
Product 6: 3 => 2 (-1)
Product 7: 4 => 5 (+1)
Product 8: 0 => 5 (+5)
Product 9: 10 => 26 (+16)
Product 13: 5 => 7 (+2)
Product 16: 1 => 0 (-1)
Product 18: 10 => 12 (+2)
Product 19: 3 => 9 (+6)
Product 20: 4 => 5 (+1)
Product 22: 160 => 190 (+30)
Product 23: 720 => 2400 (+1680)
Product 24: 230 => 340 (+110)
Product 25: 130 => 370 (+240)
Product 27: 20 => 50 (+30)
Product 29: 12 => 13 (+1)
Product 30: 120 => 410 (+290)
Product 33: 440 => 730 (+290)
Product 34: 740 => 950 (+210)
Product 35: 5 => 10 (+5)
Product 37: 130 => 140 (+10)
Product 38: 6 => 7 (+1)
Product 40: 1 => 2 (+1)
Product 42: 3 => 5 (+2)
Product 44: 5 => 8 (+3)
Product 45: 130 => 170 (+40)
Product 48: 14 => 1022 (+1008)
Product 51: 89 => 115 (+26)
Product 52: 31 => 45 (+14)
Product 55: 460 => 480 (+20)
Product 58: 3 => 12 (+9)
Product 59: 43 => 50 (+7)
Product 63: 1000 => 1820 (+820)
Product 64: 12 => 20 (+8)
Product 67: 80 => 81 (+1)
Product 85: 2 => 3 (+1)
Product 94: 10 => 17 (+7)
Product 96: 8 => 9 (+1)
Product 97: 11 => 13 (+2)
Product 98: 2 => 4 (+2)
Product 103: 1 => 5 (+4)
Product 104: 7 => 6 (-1)
Product 108: 7 => 22 (+15)
Product 109: 14 => 15 (+1)
Product 110: 24 => 20 (-4)
Product 113: 5 => 6 (+1)
Product 119: 6 => 7 (+1)
Product 121: 150 => 180 (+30)
Product 122: 3 => 4 (+1)
Product 125: 7 => 19 (+12)
Product 126: 11 => 17 (+6)
Product 130: 3 => 6 (+3)
Product 134: 4 => 0 (-4)
Product 135: 4 => 5 (+1)
Product 136: 240 => 250 (+10)
Product 138: 4 => 5 (+1)
Product 142: 130 => 170 (+40)
Product 143: 210 => 230 (+20)
Product 145: 43 => 68 (+25)
Product 147: 160 => 210 (+50)
Product 152: 70 => 90 (+20)
Product 155: 2 => 3 (+1)
Product 157: 5 => 6 (+1)
Product 159: 3 => 8 (+5)
Product 161: 611 => 961 (+350)
