ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 2: 61 => 10 (-51) [Opname: 20, Tx: 1]
Product 3: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 6: 2 => 3 (+1) [Opname: 3, Tx: 0]
Product 7: 5 => 4 (-1) [Opname: 4, Tx: 0]
Product 8: 5 => 3 (-2) [Opname: 0, Tx: 1]
Product 9: 26 => 9 (-17) [Opname: 10, Tx: 1]
Product 10: 22 => 42 (+20) [Opname: 22, Tx: 1]
Product 13: 7 => 4 (-3) [Opname: 5, Tx: 1]
Product 16: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 18: 12 => 10 (-2) [Opname: 10, Tx: 0]
Product 19: 9 => 3 (-6) [Opname: 3, Tx: 0]
Product 20: 5 => 3 (-2) [Opname: 4, Tx: 1]
Product 22: 190 => 150 (-40) [Opname: 160, Tx: 1]
Product 23: 2400 => 1660 (-740) [Opname: 720, Tx: 5]
Product 24: 340 => 230 (-110) [Opname: 230, Tx: 0]
Product 25: 370 => 100 (-270) [Opname: 130, Tx: 3]
Product 27: 50 => 20 (-30) [Opname: 20, Tx: 0]
Product 28: 10 => 20 (+10) [Opname: 10, Tx: 1]
Product 29: 13 => 12 (-1) [Opname: 12, Tx: 0]
Product 30: 410 => 110 (-300) [Opname: 120, Tx: 1]
Product 33: 730 => 410 (-320) [Opname: 440, Tx: 1]
Product 34: 950 => 740 (-210) [Opname: 740, Tx: 0]
Product 35: 10 => 4 (-6) [Opname: 5, Tx: 1]
Product 37: 140 => 120 (-20) [Opname: 130, Tx: 1]
Product 38: 7 => 6 (-1) [Opname: 6, Tx: 0]
Product 40: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 42: 5 => 6 (+1) [Opname: 3, Tx: 1]
Product 44: 8 => 4 (-4) [Opname: 5, Tx: 1]
Product 45: 170 => 130 (-40) [Opname: 130, Tx: 0]
