"Name","Count"
"Koolfever Adult/Lbr","3"
"Tolak Angin Cair 12's","3"
"Bioplacenton Jelly 15gr","3"
"Vicks Inhaler 0.5ml KC","3"
"OBH Combi Batuk Flu Menthol 100ml","3"
"OBH Combi Batuk Flu Menthol 60ml","3"
"Neurobion Forte 50's","3"
"Sanmol Syr 60ml","3"
"Antangin JRG 12's","3"
"Siladex Mucolytic 60ml","2"
"Ventolin Inhaler 100mcg","2"
"Proris Syr 60ml","2"
"Dexaharsen 0,5 mg 200's","2"
"Proris Triple Action","2"
"Dulcolax 5mg 10's","2"
"Dexaharsen 0,75 mg 200's","2"
"Microlax Supp 5ml","2"
"Betadine Gargle 100ml","2"
"Fresh Care Strong 10ml","2"
"Super Tetra 20x6's","2"
"Yusimox DS 60ml","2"
"Acyclovir Krim 5gr","2"
"Copal Chest Rub 25gr","2"
"ByeBye Fever Anak 10's","2"
"Sanmag Susp 120ml","2"
"Tawon FF 90ml","2"
"Lactacyd Liq Baby 60ml","2"
"OBH Trop + Anak Straw","2"
"Tawon EE 60ml","2"
"Hansaplast 4,5m x 1,25m","2"
