=============================================================
VERIFY CSV PRODUCTS DETAILED (ONE BY ONE)
Date: 2026-01-22 13:05:46
Cutoff: 2025-12-31 23:59:59
=============================================================

CSV products loaded: 790
CSV duplicate IDs encountered: 12

ID | NAMA | CSV | +BUY | -SELL | EXPECTED | DB | STATUS
--------------------------------------------------------------------------------------------------------------
876 | CANDESARTAN 16MG | 90 | 0 | 0 | 90 | 90 | OK
402 | KETOCONAZOLE TAB | 220 | 0 | 110 | 110 | 110 | OK
872 | X-FLAM | 30 | 0 | 10 | 20 | 20 | OK
253 | ERPHAFLAM | 50 | 200 | 90 | 160 | 160 | OK
223 | DIVOLTAR | 50 | 0 | 50 | 0 | 0 | OK
767 | SPASMINAL | 150 | 0 | 10 | 140 | 140 | OK
711 | SALICYL MENTOL | 4 | 12 | 4 | 12 | 12 | OK
712 | SALICYL PINK | 6 | 0 | 2 | 4 | 4 | OK
349 | HEROCYN 150mg | 1 | 0 | 0 | 1 | 1 | OK
350 | HEROCYN 50mg | 6 | 0 | 0 | 6 | 6 | OK
351 | HEROCYN 75mg | 5 | 0 | 1 | 4 | 4 | OK
352 | HEROCYN BABY 100mg | 3 | 0 | 0 | 3 | 3 | OK
353 | HEROCYN BABY 200mg | 2 | 0 | 0 | 2 | 2 | OK
399 | KEJIBELING PLUS GINGSENG | 3 | 10 | 3 | 10 | 10 | OK
398 | ORALIT | 63 | 0 | 7 | 56 | 56 | OK
412 | KOOLFEVER ANAK | 11 | 0 | 7 | 4 | 4 | OK
413 | KOOLFEVER BABY | 24 | 0 | 4 | 20 | 20 | OK
125 | BYE FEVER ANAK | 17 | 0 | 11 | 6 | 6 | OK
126 | BYE FEVER BABY | 11 | 0 | 8 | 3 | 3 | OK
958 | HUFAGRIP PAMOL TAB | 70 | 0 | 0 | 70 | 70 | OK
421 | LACTO-B | 11 | 40 | 15 | 36 | 36 | OK
439 | L-BIO | 21 | 0 | 8 | 13 | 13 | OK
167 | VITAMIN E IPI | 13 | 0 | 1 | 12 | 12 | OK
743 | SIDOMUNCUL C 1000 ALL VAR | 5 | 0 | 0 | 5 | 5 | OK
411 | KONIDIN PERMEN | 28 | 0 | 4 | 24 | 24 | OK
498 | MADURASA | 48 | 0 | 48 | 0 | 0 | OK
